name,height,weight,base_experience,hp,attack,defense,special_attack,special_defense,speed,primary_type,primary_type_encoded
bulbasaur,7,69,64,45,49,49,65,65,45,grass,8
ivysaur,10,130,142,60,62,63,80,80,60,grass,8
venusaur,20,1000,236,80,82,83,100,100,80,grass,8
charmander,6,85,62,39,52,43,60,50,65,fire,6
charmeleon,11,190,142,58,64,58,80,65,80,fire,6
charizard,17,905,240,78,84,78,109,85,100,fire,6
squirtle,5,90,63,44,48,65,50,64,43,water,15
wartortle,10,225,142,59,63,80,65,80,58,water,15
blastoise,16,855,239,79,83,100,85,105,78,water,15
caterpie,3,29,39,45,30,35,20,20,45,bug,0
metapod,7,99,72,50,20,55,25,25,30,bug,0
butterfree,11,320,178,60,45,50,90,80,70,bug,0
weedle,3,32,39,40,35,30,20,20,50,bug,0
kakuna,6,100,72,45,25,50,25,25,35,bug,0
beedrill,10,295,178,65,90,40,45,80,75,bug,0
pidgey,3,18,50,40,45,40,35,35,56,normal,11
pidgeotto,11,300,122,63,60,55,50,50,71,normal,11
pidgeot,15,395,216,83,80,75,70,70,101,normal,11
rattata,3,35,51,30,56,35,25,35,72,normal,11
raticate,7,185,145,55,81,60,50,70,97,normal,11
spearow,3,20,52,40,60,30,31,31,70,normal,11
fearow,12,380,155,65,90,65,61,61,100,normal,11
ekans,20,69,58,35,60,44,40,54,55,poison,12
arbok,35,650,157,60,95,69,65,79,80,poison,12
pikachu,4,60,112,35,55,40,50,50,90,electric,3
raichu,8,300,218,60,90,55,90,80,110,electric,3
sandshrew,6,120,60,50,75,85,20,30,40,ground,9
sandslash,10,295,158,75,100,110,45,55,65,ground,9
nidoran-f,4,70,55,55,47,52,40,40,41,poison,12
nidorina,8,200,128,70,62,67,55,55,56,poison,12
nidoqueen,13,600,227,90,92,87,75,85,76,poison,12
nidoran-m,5,90,55,46,57,40,40,40,50,poison,12
nidorino,9,195,128,61,72,57,55,55,65,poison,12
nidoking,14,620,227,81,102,77,85,75,85,poison,12
clefairy,6,75,113,70,45,48,60,65,35,fairy,4
clefable,13,400,217,95,70,73,95,90,60,fairy,4
vulpix,6,99,60,38,41,40,50,65,65,fire,6
ninetales,11,199,177,73,76,75,81,100,100,fire,6
jigglypuff,5,55,95,115,45,20,45,25,20,normal,11
wigglytuff,10,120,196,140,70,45,85,50,45,normal,11
zubat,8,75,49,40,45,35,30,40,55,poison,12
golbat,16,550,159,75,80,70,65,75,90,poison,12
oddish,5,54,64,45,50,55,75,65,30,grass,8
gloom,8,86,138,60,65,70,85,75,40,grass,8
vileplume,12,186,221,75,80,85,110,90,50,grass,8
paras,3,54,57,35,70,55,45,55,25,bug,0
parasect,10,295,142,60,95,80,60,80,30,bug,0
venonat,10,300,61,60,55,50,40,55,45,bug,0
venomoth,15,125,158,70,65,60,90,75,90,bug,0
diglett,2,8,53,10,55,25,35,45,95,ground,9
dugtrio,7,333,149,35,100,50,50,70,120,ground,9
meowth,4,42,58,40,45,35,40,40,90,normal,11
persian,10,320,154,65,70,60,65,65,115,normal,11
psyduck,8,196,64,50,52,48,65,50,55,water,15
golduck,17,766,175,80,82,78,95,80,85,water,15
mankey,5,280,61,40,80,35,35,45,70,fighting,5
primeape,10,320,159,65,105,60,60,70,95,fighting,5
growlithe,7,190,70,55,70,45,70,50,60,fire,6
arcanine,19,1550,194,90,110,80,100,80,95,fire,6
poliwag,6,124,60,40,50,40,40,40,90,water,15
poliwhirl,10,200,135,65,65,65,50,50,90,water,15
poliwrath,13,540,230,90,95,95,70,90,70,water,15
abra,9,195,62,25,20,15,105,55,90,psychic,13
kadabra,13,565,140,40,35,30,120,70,105,psychic,13
alakazam,15,480,225,55,50,45,135,95,120,psychic,13
machop,8,195,61,70,80,50,35,35,35,fighting,5
machoke,15,705,142,80,100,70,50,60,45,fighting,5
machamp,16,1300,227,90,130,80,65,85,55,fighting,5
bellsprout,7,40,60,50,75,35,70,30,40,grass,8
weepinbell,10,64,137,65,90,50,85,45,55,grass,8
victreebel,17,155,221,80,105,65,100,70,70,grass,8
tentacool,9,455,67,40,40,35,50,100,70,water,15
tentacruel,16,550,180,80,70,65,80,120,100,water,15
geodude,4,200,60,40,80,100,30,30,20,rock,14
graveler,10,1050,137,55,95,115,45,45,35,rock,14
golem,14,3000,223,80,120,130,55,65,45,rock,14
ponyta,10,300,82,50,85,55,65,65,90,fire,6
rapidash,17,950,175,65,100,70,80,80,105,fire,6
slowpoke,12,360,63,90,65,65,40,40,15,water,15
slowbro,16,785,172,95,75,110,100,80,30,water,15
magnemite,3,60,65,25,35,70,95,55,45,electric,3
magneton,10,600,163,50,60,95,120,70,70,electric,3
farfetchd,8,150,132,52,90,55,58,62,60,normal,11
doduo,14,392,62,35,85,45,35,35,75,normal,11
dodrio,18,852,165,60,110,70,60,60,110,normal,11
seel,11,900,65,65,45,55,45,70,45,water,15
dewgong,17,1200,166,90,70,80,70,95,70,water,15
grimer,9,300,65,80,80,50,40,50,25,poison,12
muk,12,300,175,105,105,75,65,100,50,poison,12
shellder,3,40,61,30,65,100,45,25,40,water,15
cloyster,15,1325,184,50,95,180,85,45,70,water,15
gastly,13,1,62,30,35,30,100,35,80,ghost,7
haunter,16,1,142,45,50,45,115,55,95,ghost,7
gengar,15,405,225,60,65,60,130,75,110,ghost,7
onix,88,2100,77,35,45,160,30,45,70,rock,14
drowzee,10,324,66,60,48,45,43,90,42,psychic,13
hypno,16,756,169,85,73,70,73,115,67,psychic,13
krabby,4,65,65,30,105,90,25,25,50,water,15
kingler,13,600,166,55,130,115,50,50,75,water,15
voltorb,5,104,66,40,30,50,55,55,100,electric,3
electrode,12,666,172,60,50,70,80,80,150,electric,3
exeggcute,4,25,65,60,40,80,60,45,40,grass,8
exeggutor,20,1200,186,95,95,85,125,75,55,grass,8
cubone,4,65,64,50,50,95,40,50,35,ground,9
marowak,10,450,149,60,80,110,50,80,45,ground,9
hitmonlee,15,498,159,50,120,53,35,110,87,fighting,5
hitmonchan,14,502,159,50,105,79,35,110,76,fighting,5
lickitung,12,655,77,90,55,75,60,75,30,normal,11
koffing,6,10,68,40,65,95,60,45,35,poison,12
weezing,12,95,172,65,90,120,85,70,60,poison,12
rhyhorn,10,1150,69,80,85,95,30,30,25,ground,9
rhydon,19,1200,170,105,130,120,45,45,40,ground,9
chansey,11,346,395,250,5,5,35,105,50,normal,11
tangela,10,350,87,65,55,115,100,40,60,grass,8
kangaskhan,22,800,172,105,95,80,40,80,90,normal,11
horsea,4,80,59,30,40,70,70,25,60,water,15
seadra,12,250,154,55,65,95,95,45,85,water,15
goldeen,6,150,64,45,67,60,35,50,63,water,15
seaking,13,390,158,80,92,65,65,80,68,water,15
staryu,8,345,68,30,45,55,70,55,85,water,15
starmie,11,800,182,60,75,85,100,85,115,water,15
mr-mime,13,545,161,40,45,65,100,120,90,psychic,13
scyther,15,560,100,70,110,80,55,80,105,bug,0
jynx,14,406,159,65,50,35,115,95,95,ice,10
electabuzz,11,300,172,65,83,57,95,85,105,electric,3
magmar,13,445,173,65,95,57,100,85,93,fire,6
pinsir,15,550,175,65,125,100,55,70,85,bug,0
tauros,14,884,172,75,100,95,40,70,110,normal,11
magikarp,9,100,40,20,10,55,15,20,80,water,15
gyarados,65,2350,189,95,125,79,60,100,81,water,15
lapras,25,2200,187,130,85,80,85,95,60,water,15
ditto,3,40,101,48,48,48,48,48,48,normal,11
eevee,3,65,65,55,55,50,45,65,55,normal,11
vaporeon,10,290,184,130,65,60,110,95,65,water,15
jolteon,8,245,184,65,65,60,110,95,130,electric,3
flareon,9,250,184,65,130,60,95,110,65,fire,6
porygon,8,365,79,65,60,70,85,75,40,normal,11
omanyte,4,75,71,35,40,100,90,55,35,rock,14
