name,height,weight,base_experience,hp,attack,defense,special_attack,special_defense,speed,primary_type,primary_type_encoded,total_power,is_high_power
bulbasaur,7,69,64,45,49,49,65,65,45,grass,8,318,0
ivysaur,10,130,142,60,62,63,80,80,60,grass,8,405,0
venusaur,20,1000,236,80,82,83,100,100,80,grass,8,525,1
charmander,6,85,62,39,52,43,60,50,65,fire,6,309,0
charmeleon,11,190,142,58,64,58,80,65,80,fire,6,405,0
charizard,17,905,240,78,84,78,109,85,100,fire,6,534,1
squirtle,5,90,63,44,48,65,50,64,43,water,15,314,0
wartortle,10,225,142,59,63,80,65,80,58,water,15,405,0
blastoise,16,855,239,79,83,100,85,105,78,water,15,530,1
caterpie,3,29,39,45,30,35,20,20,45,bug,0,195,0
metapod,7,99,72,50,20,55,25,25,30,bug,0,205,0
butterfree,11,320,178,60,45,50,90,80,70,bug,0,395,0
weedle,3,32,39,40,35,30,20,20,50,bug,0,195,0
kakuna,6,100,72,45,25,50,25,25,35,bug,0,205,0
beedrill,10,295,178,65,90,40,45,80,75,bug,0,395,0
pidgey,3,18,50,40,45,40,35,35,56,normal,11,251,0
pidgeotto,11,300,122,63,60,55,50,50,71,normal,11,349,0
pidgeot,15,395,216,83,80,75,70,70,101,normal,11,479,1
rattata,3,35,51,30,56,35,25,35,72,normal,11,253,0
raticate,7,185,145,55,81,60,50,70,97,normal,11,413,1
spearow,3,20,52,40,60,30,31,31,70,normal,11,262,0
fearow,12,380,155,65,90,65,61,61,100,normal,11,442,1
ekans,20,69,58,35,60,44,40,54,55,poison,12,288,0
arbok,35,650,157,60,95,69,65,79,80,poison,12,448,1
pikachu,4,60,112,35,55,40,50,50,90,electric,3,320,0
raichu,8,300,218,60,90,55,90,80,110,electric,3,485,1
sandshrew,6,120,60,50,75,85,20,30,40,ground,9,300,0
sandslash,10,295,158,75,100,110,45,55,65,ground,9,450,1
nidoran-f,4,70,55,55,47,52,40,40,41,poison,12,275,0
nidorina,8,200,128,70,62,67,55,55,56,poison,12,365,0
nidoqueen,13,600,227,90,92,87,75,85,76,poison,12,505,1
nidoran-m,5,90,55,46,57,40,40,40,50,poison,12,273,0
nidorino,9,195,128,61,72,57,55,55,65,poison,12,365,0
nidoking,14,620,227,81,102,77,85,75,85,poison,12,505,1
clefairy,6,75,113,70,45,48,60,65,35,fairy,4,323,0
clefable,13,400,217,95,70,73,95,90,60,fairy,4,483,1
vulpix,6,99,60,38,41,40,50,65,65,fire,6,299,0
ninetales,11,199,177,73,76,75,81,100,100,fire,6,505,1
jigglypuff,5,55,95,115,45,20,45,25,20,normal,11,270,0
wigglytuff,10,120,196,140,70,45,85,50,45,normal,11,435,1
zubat,8,75,49,40,45,35,30,40,55,poison,12,245,0
golbat,16,550,159,75,80,70,65,75,90,poison,12,455,1
oddish,5,54,64,45,50,55,75,65,30,grass,8,320,0
gloom,8,86,138,60,65,70,85,75,40,grass,8,395,0
vileplume,12,186,221,75,80,85,110,90,50,grass,8,490,1
paras,3,54,57,35,70,55,45,55,25,bug,0,285,0
parasect,10,295,142,60,95,80,60,80,30,bug,0,405,0
venonat,10,300,61,60,55,50,40,55,45,bug,0,305,0
venomoth,15,125,158,70,65,60,90,75,90,bug,0,450,1
diglett,2,8,53,10,55,25,35,45,95,ground,9,265,0
dugtrio,7,333,149,35,100,50,50,70,120,ground,9,425,1
meowth,4,42,58,40,45,35,40,40,90,normal,11,290,0
persian,10,320,154,65,70,60,65,65,115,normal,11,440,1
psyduck,8,196,64,50,52,48,65,50,55,water,15,320,0
golduck,17,766,175,80,82,78,95,80,85,water,15,500,1
mankey,5,280,61,40,80,35,35,45,70,fighting,5,305,0
primeape,10,320,159,65,105,60,60,70,95,fighting,5,455,1
growlithe,7,190,70,55,70,45,70,50,60,fire,6,350,0
arcanine,19,1550,194,90,110,80,100,80,95,fire,6,555,1
poliwag,6,124,60,40,50,40,40,40,90,water,15,300,0
poliwhirl,10,200,135,65,65,65,50,50,90,water,15,385,0
poliwrath,13,540,230,90,95,95,70,90,70,water,15,510,1
abra,9,195,62,25,20,15,105,55,90,psychic,13,310,0
kadabra,13,565,140,40,35,30,120,70,105,psychic,13,400,0
alakazam,15,480,225,55,50,45,135,95,120,psychic,13,500,1
machop,8,195,61,70,80,50,35,35,35,fighting,5,305,0
machoke,15,705,142,80,100,70,50,60,45,fighting,5,405,0
machamp,16,1300,227,90,130,80,65,85,55,fighting,5,505,1
bellsprout,7,40,60,50,75,35,70,30,40,grass,8,300,0
weepinbell,10,64,137,65,90,50,85,45,55,grass,8,390,0
victreebel,17,155,221,80,105,65,100,70,70,grass,8,490,1
tentacool,9,455,67,40,40,35,50,100,70,water,15,335,0
tentacruel,16,550,180,80,70,65,80,120,100,water,15,515,1
geodude,4,200,60,40,80,100,30,30,20,rock,14,300,0
graveler,10,1050,137,55,95,115,45,45,35,rock,14,390,0
golem,14,3000,223,80,120,130,55,65,45,rock,14,495,1
ponyta,10,300,82,50,85,55,65,65,90,fire,6,410,1
rapidash,17,950,175,65,100,70,80,80,105,fire,6,500,1
slowpoke,12,360,63,90,65,65,40,40,15,water,15,315,0
slowbro,16,785,172,95,75,110,100,80,30,water,15,490,1
magnemite,3,60,65,25,35,70,95,55,45,electric,3,325,0
magneton,10,600,163,50,60,95,120,70,70,electric,3,465,1
farfetchd,8,150,132,52,90,55,58,62,60,normal,11,377,0
doduo,14,392,62,35,85,45,35,35,75,normal,11,310,0
dodrio,18,852,165,60,110,70,60,60,110,normal,11,470,1
seel,11,900,65,65,45,55,45,70,45,water,15,325,0
dewgong,17,1200,166,90,70,80,70,95,70,water,15,475,1
grimer,9,300,65,80,80,50,40,50,25,poison,12,325,0
muk,12,300,175,105,105,75,65,100,50,poison,12,500,1
shellder,3,40,61,30,65,100,45,25,40,water,15,305,0
cloyster,15,1325,184,50,95,180,85,45,70,water,15,525,1
